symbol,address,decimal,order_size,err
SWAP,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,18,,None
NOIA,0xa8c8cfb141a3bb59fea1e2ea6b79b5ecbcd7b6ca,18,,None
 SHOP,0x64b78325d7495d6d4be92f234fa3f3b8d8964b8b,18,,None
PAR,0x68037790a0229e9ce6eaa8a99ea92964106c4703,18,,None
VXV,0x7d29a64504629172a429e64183d6673b9dacbfce,18,,None
EUROC,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,6,,None
8PAY,0xfeea0bdd3d07eb6fe305938878c0cadbfa169042,18,,None
NTVRK,0xfc0d6cf33e38bce7ca7d89c0e292274031b7157a,18,,None
APOLLO,0xadf86e75d8f0f57e0288d0970e7407eaa49b3cab,9,,None
UPI,0x70d2b7c19352bb76e4409858ff5746e500f2b67c,18,,None
BEZOGE,0xdc349913d53b446485e98b76800b6254f43df695,9,,None
TERA,0x009668a9691e456972c8ec4cc84e99486308b84d,18,,None
KOMPETE,0x1e0b2992079b620aa13a7c2e7c88d2e1e18e46e9,10,,None
alUSD,0xbc6da0fe9ad5f3b0d58160288917aa56653660e9,18,,None
EWTB,0x178c820f862b14f316509ec36b13123da19a6054,18,,None
RSR,0x320623b8e4ff03373931769a31fc52a4e78b5d70,18,,None
HEGIC,0x584bc13c7d411c00c01a62e8019472de68768430,18,,None
GENI,0x444444444444c1a66f394025ac839a535246fcc8,9,,None
MVI,0x72e364f2abdc788b7e918bc238b21f109cd634d7,18,,None
SPELL,0x090185f2135308bad17527004364ebcc2d37e5f6,18,,None
COW,0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,18,,None
BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18,,None
USDP,0x8e870d67f660d95d5be530380d0ec0bd388289e1,18,,None
ROUTE,0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4,18,,None
GEAR,0xba3335588d9403515223f109edc4eb7269a9ab5d,18,,None
HOT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,18,,None
UBT,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,8,,None
LINU,0x78132543d8e20d2417d8a07d9ae199d458a0d581,18,,None
GLQ,0x9f9c8ec3534c3ce16f928381372bfbfbfb9f4d24,18,,None
GTC,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,18,,None
SGT,0x24c19f7101c1731b85f1127eaa0407732e36ecdd,18,,None
AVINOC,0xf1ca9cb74685755965c7458528a36934df52a3ef,18,,None
Okinami,0x1c4853ec0d55e420002c5efabc7ed8e0ba7a4121,9,,None
wCFG,0xc221b7e65ffc80de234bbb6667abdd46593d34f0,18,,None
UwU,0x55c08ca52497e2f1534b59e2917bf524d4765257,18,,None
AXL,0x25b24b3c47918b7962b3e49c4f468367f73cc0e0,18,,None
RUNE,0x3155ba85d5f96b2d030a4966af206230e46849cb,18,,None
UST,0xa47c8bf37f92abed4a126bda807a7b7498661acd,18,,None
ROOK,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,18,,None
XFT,0xabe580e7ee158da464b51ee1a83ac0289622e6be,18,,None
HKBY,0x645c52cf6c5c58aa4064494f5b5ffe9c7ec0d7d4,18,,None
NFD,0xdfdb7f72c1f195c5951a234e8db9806eb0635346,18,,None
DPAY,0xe5a733681bbe6cd8c764bb8078ef8e13a576dd78,18,,None
YDF,0x30dcba0405004cf124045793e1933c798af9e66a,18,,None
RFOX,0xa1d6df714f91debf4e0802a542e13067f31b8262,18,,None
DBI,0x2de509bf0014ddf697b220be628213034d320ece,18,,None
DINU,0xbb1ee07d6c7baeb702949904080eb61f5d5e7732,18,,None
TEXAN,0xcfcffe432a48db53f59c301422d2edd77b2a88d7,18,,None
IDLE,0x875773784af8135ea0ef43b5a374aad105c5d39e,18,,None
vETH,0xc3d088842dcf02c13699f936bb83dfbbc6f721ab,18,,None
GSWAP,0xaac41ec512808d64625576eddd580e7ea40ef8b2,18,,None
JUP,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,18,,None
NMR,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,18,,None
AUDIO,0x18aaa7115705e8be94bffebde57af9bfc265b998,18,,None
GAMMA,0x6bea7cfef803d1e3d5f7c0103f7ded065644e197,18,,None
cUSDC,0x39aa39c021dfbae8fac545936693ac917d5e7563,8,,None
XOLO,0x3252d4221f92b7af3774da8312f01600ec84b252,18,,None
INV,0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,18,,None
KNC,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,18,,None
DEXT,0xfb7b4564402e5500db5bb6d63ae671302777c75a,18,,None
GNO,0x6810e776880c02933d47db1b9fc05908e5386b96,18,,None
ERN,0xbbc2ae13b23d715c30720f079fcd9b4a74093505,18,,None
ICHI,0x903bef1736cddf2a537176cf3c64579c3867a881,9,,None
wMEMO,0x3b79a28264fc52c7b4cea90558aa0b162f7faf57,18,,None
OS,0x6100dd79fcaa88420750dcee3f735d168abcb771,18,,None
TGT,0x108a850856db3f85d0269a2693d896b394c80325,18,,None
COM,0x5a9780bfe63f3ec57f01b087cd65bd656c9034a8,12,,None
Ly,0x8686525d6627a25c68de82c228448f43c97999f2,9,,None
SRM,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,6,,None
NOTE,0xcfeaead4947f0705a14ec42ac3d44129e1ef3ed5,8,,None
TYRANT,0x8ee325ae3e54e83956ef2d5952d3c8bc1fa6ec27,9,,None
MOOV,0x24ec2ca132abf8f6f8a6e24a1b97943e31f256a7,18,,None
TWT,0xd4df22556e07148e591b4c7b4f555a17188cf5cf,9,,None
DOLA,0x865377367054516e17014ccded1e7d814edc9ce4,18,,None
RAINI,0xeb953eda0dc65e3246f43dc8fa13f35623bdd5ed,18,,None
SUPER,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,18,,None
POWER,0x0263994554ec08cc60473dbf8cee60f9eedbf093,18,,None
YGG,0x25f8087ead173b73d6e8b84329989a8eea16cf73,18,,None
KAT,0x14da230d6726c50f759bc1838717f8ce6373509c,18,,None
PRQ,0x362bc847a3a9637d3af6624eec853618a43ed7d2,18,,None
NFTX,0x87d73e916d7057945c9bcd8cdd94e42a6f47f776,18,,None
CXO,0xb6ee9668771a79be7967ee29a63d4184f8097143,18,,None
ShibDoge,0x6adb2e268de2aa1abf6578e4a8119b960e02928f,9,,None
AMP,0xff20817765cb7f73d4bde2e66e067e58d11095c2,18,,None
ZEE,0x2edf094db69d6dcd487f1b3db9febe2eec0dd4c5,18,,None
TRAC,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,18,,None
ZENIQ,0x5b52bfb8062ce664d74bbcd4cd6dc7df53fd7233,18,,None
ZCX,0xc52c326331e9ce41f04484d3b5e5648158028804,18,,None
DOG,0xbaac2b4491727d78d2b78815144570b9f2fe8899,18,,None
API3,0x0b38210ea11411557c13457d4da7dc6ea731b88a,18,,None
Dubbz,0x38029c62dfa30d9fd3cadf4c64e9b2ab21dbda17,18,,None
CPOOL,0x66761fa41377003622aee3c7675fc7b5c1c2fac5,18,,None
SNTVT,0x7865af71cf0b288b4e7f654f4f7851eb46a2b7f8,18,,None
GLM,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,18,,None
ARC,0xc82e3db60a52cf7529253b4ec688f631aad9e7c2,18,,None
CPD,0x9b31bb425d8263fa1b8b9d090b83cf0c31665355,18,,None
bb-a-USD,0xa13a9247ea42d743238089903570127dda72fe44,18,,None
RIO,0xf21661d0d1d76d3ecb8e1b9f1c923dbfffae4097,18,,None
WFLOW,0x5c147e74d63b1d31aa3fd78eb229b65161983b2b,18,,None
FIS,0xef3a930e1ffffacd2fc13434ac81bd278b0ecc8d,18,,None
MONA,0x275f5ad03be0fa221b4c6649b8aee09a42d9412a,18,,None
SQGL,0x8d137e3337eb1b58a222fef2b2cc7c423903d9cf,18,,None
cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,8,,None
AUSD,0xb7135877cd5d40aa3b086ac6f21c51bbafbbb41f,18,,None
RGT,0xd291e7a03283640fdc51b121ac401383a46cc623,18,,None
BTT,0xc669928185dbce49d2230cc9b0979be6dc797957,18,,None
